address,business_name,categories,price_range,rank,rating,review_count,url
1484 3rd Ave Upper West Side,Levain Bakery,Bakeries,$$,1,4.5,8042,https://www.yelp.com/biz/levain-bakery-new-york
205 E Houston St Lower East Side,Katz’s Delicatessen,"Delis,Sandwiches,Caterers",$$,2,4.0,12231,https://www.yelp.com/biz/katzs-delicatessen-new-york
West 53rd St Theater District,The Halal Guys,"Food Stands,Middle Eastern,Halal",$,3,4.0,9439,https://www.yelp.com/biz/the-halal-guys-new-york-2
65 4th Ave East Village,Ippudo NY,Ramen,$$,4,4.0,9965,https://www.yelp.com/biz/ippudo-ny-new-york-7
1000 5th Ave Central Park,The Metropolitan Museum of Art,Art Museums,,5,4.5,2871,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3
14 E 60th St Central Park,Central Park,Parks,,6,5.0,2437,https://www.yelp.com/biz/central-park-new-york
253 W 51st St Theater District,Bibble &amp; Sip,"Coffee &amp; Tea,Bakeries",$,7,4.5,4782,https://www.yelp.com/biz/bibble-and-sip-new-york-2
75 9th Ave Meatpacking District,Los Tacos No.1,Tacos,$,8,4.5,2953,https://www.yelp.com/biz/los-tacos-no-1-new-york
27 Prince St Nolita,Prince Street Pizza,"Pizza,Italian",$,9,4.5,3539,https://www.yelp.com/biz/prince-street-pizza-new-york-2
225 W 35th St Midtown West,Best Bagel &amp; Coffee,"Bagels,Coffee &amp; Tea,Breakfast &amp; Brunch",$,10,4.5,3306,https://www.yelp.com/biz/best-bagel-and-coffee-new-york
5 E 19th St Flatiron,Thai Villa,"Thai,Asian Fusion",$$,11,4.5,3336,https://www.yelp.com/biz/thai-villa-new-york-2
42 E 20th St Flatiron,Gramercy Tavern,American (New),$$$$,12,4.5,2892,https://www.yelp.com/biz/gramercy-tavern-new-york
820 Washington St Meatpacking District,The High Line,Parks,,13,4.5,2338,https://www.yelp.com/biz/the-high-line-new-york
379 Grand St Lower East Side,Doughnut Plant,"Donuts,Coffee &amp; Tea",$$,14,4.5,3207,https://www.yelp.com/biz/doughnut-plant-new-york-6
178 Broadway Williamsburg - South Side,Peter Luger,Steakhouses,$$$$,15,4.0,5723,https://www.yelp.com/biz/peter-luger-brooklyn-2
180 Greenwich St Financial District,National September 11 Memorial Museum,Museums,,16,4.5,1420,https://www.yelp.com/biz/national-september-11-memorial-museum-new-york
4 Clinton St Lower East Side,Clinton Street Baking Company,"Bakeries,Breakfast &amp; Brunch,American (Traditional)",$$,17,4.0,5065,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5
155 W 51st St Theater District,Le Bernardin,"French,Lounges",$$$$,18,4.5,2532,https://www.yelp.com/biz/le-bernardin-new-york
119 Baxter St Little Italy,Taiyaki NYC,Ice Cream &amp; Frozen Yogurt,$,19,4.5,2868,https://www.yelp.com/biz/taiyaki-nyc-new-york
229 W 43rd St Theater District,Los Tacos No.1,Tacos,$,20,4.5,1756,https://www.yelp.com/biz/los-tacos-no-1-new-york-3
155 W 51st St Theater District,Le Bernardin,"French,Lounges",$$$$,21,4.5,2532,https://www.yelp.com/biz/le-bernardin-new-york
119 Baxter St Little Italy,Taiyaki NYC,Ice Cream &amp; Frozen Yogurt,$,22,4.5,2868,https://www.yelp.com/biz/taiyaki-nyc-new-york
229 W 43rd St Theater District,Los Tacos No.1,Tacos,$,23,4.5,1756,https://www.yelp.com/biz/los-tacos-no-1-new-york-3
189 Spring St South Village,Dominique Ansel Bakery,"Bakeries,Desserts",$$,24,4.0,4480,https://www.yelp.com/biz/dominique-ansel-bakery-new-york
334 Furman St ,Brooklyn Bridge,Landmarks &amp; Historical Buildings,,25,4.5,1365,https://www.yelp.com/biz/brooklyn-bridge-brooklyn
179 E Houston St Lower East Side,Russ &amp; Daughters,"Bagels,Smokehouse,Bakeries",$$,26,4.5,2214,https://www.yelp.com/biz/russ-and-daughters-new-york
509 Amsterdam Ave Upper West Side,Jacob’s Pickles,"Comfort Food,Southern,American (Traditional)",$$,27,4.0,4131,https://www.yelp.com/biz/jacobs-pickles-new-york
19 Old Fulton St DUMBO,Juliana’s Pizza,Pizza,$$,28,4.5,2183,https://www.yelp.com/biz/julianas-pizza-brooklyn-5
22 W 8th St Greenwich Village,Amélie,"French,Wine Bars",$$,29,4.5,2670,https://www.yelp.com/biz/am%C3%A9lie-new-york
46 Bowery St Chinatown,Joe’s Shanghai,"Shanghainese,Seafood,Noodles",$$,30,4.0,6159,https://www.yelp.com/biz/joes-shanghai-new-york-2
200 5th Ave Flatiron,Eataly NYC Flatiron,"Italian,Grocery,Cafes",$$,31,4.0,5498,https://www.yelp.com/biz/eataly-nyc-flatiron-new-york
366 W 52nd St Theater District,Totto Ramen,Ramen,$$,32,4.0,5467,https://www.yelp.com/biz/totto-ramen-new-york-15
321 W 51st St Theater District,Ippudo Westside,Ramen,$$,33,4.0,3675,https://www.yelp.com/biz/ippudo-westside-new-york
11 Madison Ave Flatiron,Eleven Madison Park,"American (New),French,Cocktail Bars",$$$$,34,4.5,2179,https://www.yelp.com/biz/eleven-madison-park-new-york
